item,name,group,groupLabel,district,districtLabel,gender,dob,dobPrecision,psid
Q107048422,NIKOLAOU Marina,Q212158,Progressive Party of Working People,Q64918041,Limassol constituency,female,1986-11-27,11,Q107048422-49A95890-6708-48D6-9900-E1DC09436C6A
Q107049021,KOUKOUMAS George,Q212158,Progressive Party of Working People,Q64918045,Famagusta constituency,male,1983-09-07,11,Q107049021-42A64B19-7BFA-4CAB-BE9A-63DEF42780BE
Q107049720,Christos Christofias,Q212158,Progressive Party of Working People,Q64864679,Kyrenia constituency,male,1983-06-05,11,Q107049720-E24BFEC4-3988-4CDE-8E7A-04A8FAB26FAA
Q107050898,CHRISTOPHIDES Christos,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,male,1974-06-20,11,Q107050898-C8749AE7-4815-4647-847F-E0972FA92DC6
Q107051098,FAKONTIS Valentinos,Q212158,Progressive Party of Working People,Q64918042,Paphos constituency,male,1985-10-03,11,Q107051098-DA862D60-E0AA-48FD-A31E-ED850A77CE08
Q107051211,ALAMBRITIS Prodromos,Q644973,Democratic Rally,Q64918047,Larnaca constituency,male,1982-12-15,11,Q107051211-5666CD8C-056F-46B0-A1D1-3632FE639B82
Q107062924,PAZAROS Charalambos,Q644973,Democratic Rally,Q64918042,Paphos constituency,male,1977-01-21,11,Q107062924-DBCEFD34-82E3-469E-AA21-81D8A850A45C
Q107063181,Nikos Georgiou,Q644973,Democratic Rally,Q64918045,Famagusta constituency,male,1983-01-04,11,Q107063181-D2CF4F85-39CD-4973-B94A-8000212D45D4
Q107064700,SUPERMAN THEODOROU Rita,Q644973,Democratic Rally,Q64864679,Kyrenia constituency,female,1966-12-23,11,Q107064700-5D6A63D8-5741-4DA1-A185-6D7D267FC39B
Q107064880,Fotini Tsiridou,Q644973,Democratic Rally,Q64918041,Limassol constituency,female,1979-12-17,11,Q107064880-6C7355A9-16BD-43AC-B37B-607737B3EE9A
Q107065060,SYKAS Nikos,Q644973,Democratic Rally,Q64918041,Limassol constituency,male,1966-03-27,11,Q107065060-82C24B23-4AB7-4B6D-9FE9-8D94E1AD69FA
Q107083979,Christos Senekis,Q816863,Democratic Party,Q64918045,Famagusta constituency,male,1977-10-06,11,Q107083979-F069D989-60B0-4DFB-97C8-2718979EDF42
Q107084062,Sotiris Ioannou,Q2748384,ELAM,Q64918047,Larnaca constituency,male,1995-03-23,11,Q107084062-4AE2BFF5-916B-485C-BAA9-FDFF59349BD8
Q107110533,PANTELIDES Chrisis,Q816863,Democratic Party,Q64918044,Nicosia constituency,male,1975-01-09,11,Q107110533-E223F722-EDF0-4A9E-9260-840CCA6E7B68
Q107110600,Chrysanthos Savvides,Q816863,Democratic Party,Q64918042,Paphos constituency,male,1971-12-06,11,Q107110600-454931F5-DFAC-4BD5-B1AB-7544DB82E80E
Q107110819,YIACOUMI Michalis,Q60785287,Democratic Front,Q64918045,Famagusta constituency,male,1986-02-12,11,Q107110819-09A11D06-1634-401D-A032-11A167429FFE
Q107111075,TRYFONIDIS Alekos,Q60785287,Democratic Front,Q64918044,Nicosia constituency,male,1968-07-21,11,Q107111075-9B274BD7-5551-460F-AB66-2CC536BA8457
Q107126438,Andreas Apostolou,Q259800,Movement for Social Democracy,Q64918047,Larnaca constituency,male,1986-07-16,11,Q107126438-AC924E50-0D67-47A7-87F2-EBD255B6CF79
Q107126518,PAPADOURIS Stavros,Q1650110,Movement of Ecologists — Citizens' Cooperation,Q64918041,Limassol constituency,male,1974-01-08,11,Q107126518-C8E58852-113B-43EE-A963-B908CB8B5783
Q107126576,ATTALIDES Alexandra,Q1650110,Movement of Ecologists — Citizens' Cooperation,Q64918044,Nicosia constituency,female,1958-12-25,11,Q107126576-101BA66C-5BDC-41AD-8EDC-2193DFE0E5AE
Q12872352,Aristos Damianou,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,male,1972-06-03,11,Q12872352-2F58A4DA-65A3-456D-B64E-C5F7F91389E4
Q12873768,Andreas Kafkalias,Q212158,Progressive Party of Working People,Q64918041,Limassol constituency,male,1971-10-21,11,Q12873768-25DEFA91-1AF0-4123-8C30-AC19CF8907C8
Q12875278,GAVRIEL Yiannakis,Q212158,Progressive Party of Working People,Q64918045,Famagusta constituency,male,1961-07-17,11,Q12875278-E7192B14-AA67-471F-BFA1-E04773788F8A
Q12875354,LOUKAIDES Yiorgos,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,male,1968-12-05,11,Q12875354-8E0692CC-BE7A-4ED0-AF36-0A98A9B76C42
Q12876791,Irene Charalambides,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,female,1964-03-19,11,Q12876791-D28800DF-755B-407E-A6B3-9256A74D5315
Q12879928,COSTA Costas,Q212158,Progressive Party of Working People,Q64918041,Limassol constituency,male,1971-03-26,11,Q12879928-FE1F8B34-1667-41AE-9BC1-ADE15A068C27
Q12880743,Marinos Sizopoulos,Q259800,Movement for Social Democracy,Q64918041,Limassol constituency,male,1957-07-17,11,Q12880743-F17BEA75-259C-428E-A102-5ED3C79D7EB0
Q12884748,Stefanos Stefanou,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,male,1965-01-21,11,Q12884748-0CB7ED04-8864-4A2D-A9E8-0346A6F2D101
Q12885971,GEORGIADES Harris,Q644973,Democratic Rally,Q64918044,Nicosia constituency,male,1972-04-09,11,Q12885971-126DC8EF-199B-4893-B1AC-B99783F422A5
Q15951474,Averof Neofytou,Q644973,Democratic Rally,Q64918044,Nicosia constituency,male,1961-07-31,11,Q15951474-81BA2F07-0C62-4485-95A3-56672B56EA1A
Q2634360,GAROYIAN Marios,Q60785287,Democratic Front,Q64918041,Limassol constituency,male,1961-05-31,11,Q2634360-F9E58FE5-4DAE-4DA6-AABF-A51D7B9956DD
Q3161181,PAPADOPOULOS Nicholas,Q816863,Democratic Party,Q64918044,Nicosia constituency,male,1973-04-22,11,Q3161181-A6146C69-CCD9-451A-BD62-DE9ED9EBC8C9
Q47463125,Christos Christou,Q2748384,ELAM,Q64918044,Nicosia constituency,male,1980-10-19,11,Q47463125-514CD7CB-2AD0-4A88-B0CB-B82BED6539F5
Q47536190,Onoufrios Koulla,Q644973,Democratic Rally,Q64918045,Famagusta constituency,male,1974-12-19,11,Q47536190-155A805A-E026-4E23-8681-A426E13B7C83
Q47893519,Savia Orphanidou,Q644973,Democratic Rally,Q64918044,Nicosia constituency,female,1979-08-18,11,Q47893519-D107A4BD-8747-42BA-9DC4-B39CE74B6798
Q47984268,Annita Demetriou,Q644973,Democratic Rally,Q64918047,Larnaca constituency,female,1985-10-18,11,Q47984268-727C5213-3BC2-4BC1-A89D-E4F23942AD10
Q49782374,Linos Papayiannis,Q2748384,ELAM,Q64918045,Famagusta constituency,male,1988-06-27,11,Q49782374-E77BBA8D-40A3-407B-BD06-D3864FEE6D80
Q514075,Andros Kyprianou,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,male,1955-10-26,11,Q514075-EE9A49EE-081A-4DE3-B60C-5CF83E24C57B
Q52773609,Pavlos Mylonas,Q816863,Democratic Party,Q64918041,Limassol constituency,male,1967-03-01,11,Q52773609-F4DAF357-4919-45EA-B322-6CDC2E2C9C6B
Q52774772,MOUSIOUTTAS Marinos,Q60785287,Democratic Front,Q64918044,Nicosia constituency,male,1964-02-25,11,Q52774772-37E43A9B-6784-4BDB-A7D6-91AC7C4BBDF2
Q52776264,EROTOKRITOU Christiana,Q816863,Democratic Party,Q64918044,Nicosia constituency,female,1973-05-14,11,Q52776264-540C8EC2-5BB3-4B5B-ACE7-8A6341468A9B
Q52776576,Panicos Leonidou,Q816863,Democratic Party,Q64918041,Limassol constituency,male,1959-09-15,11,Q52776576-1B6BCE86-89B3-4C2C-B4F8-A23E5425D477
Q53461424,Zacharias Koulias,Q816863,Democratic Party,Q64918045,Famagusta constituency,male,1950-12-07,11,Q53461424-73980BD2-D3E3-4D7A-AD8C-E35A0714F9B1
Q53553067,Christos Orphanides,Q816863,Democratic Party,Q64918047,Larnaca constituency,male,1961-06-14,11,Q53553067-C99E20EB-C5AF-44BE-9CDF-95C632D965C4
Q53632707,Charalampos Theopemptou,Q1650110,Movement of Ecologists — Citizens' Cooperation,Q64918044,Nicosia constituency,male,1955-11-26,11,Q53632707-37805EC8-8853-433E-875C-55A63A2A4709
Q53997687,MYRIANTHOUS Elias,Q259800,Movement for Social Democracy,Q64918042,Paphos constituency,male,1967-05-05,11,Q53997687-905208EA-6867-4844-9C46-A7CCA776980D
Q54086751,EFSTATHIOU Constantinos,Q259800,Movement for Social Democracy,Q64918044,Nicosia constituency,male,1961-06-13,11,Q54086751-F8B48B79-A87E-4088-BF73-8B73A83B8895
Q60666834,DEMETRIOU Demetris,Q644973,Democratic Rally,Q64918044,Nicosia constituency,male,1981-05-04,11,Q60666834-E7233815-64EA-4243-8B0D-A05B41E0DAB8
Q64918169,Marios Mavrides,Q644973,Democratic Rally,Q64864679,Kyrenia constituency,male,1963-08-05,11,Q64918169-8BD48726-F110-4473-8D17-57592B1AEB30
Q64969661,Andreas Pasiourtides,Q212158,Progressive Party of Working People,Q64918047,Larnaca constituency,male,1984-11-25,11,Q64969661-5CA894FF-93D5-47EC-8049-FAB2A42DD6BF
Q64994923,KETTIROS Nicos,Q212158,Progressive Party of Working People,Q64918045,Famagusta constituency,male,1974-11-25,11,Q64994923-4BCE1D16-AF61-401E-AD0D-5B63D344D469
Q65026152,KAROULLAS George,Q644973,Democratic Rally,Q64918045,Famagusta constituency,male,1972-06-28,11,Q65026152-D75B9758-2BED-423D-98F6-70F03C073F0A
Q65034866,Dr HADJIYIANNIS Kyriacos,Q644973,Democratic Rally,Q64918045,Famagusta constituency,male,1963-08-22,11,Q65034866-1E2DE62C-D99E-440C-986C-85ED79A0D068
Q65054812,Efthimios Diplaros,Q644973,Democratic Rally,Q64918041,Limassol constituency,male,1980-03-18,11,Q65054812-6F733AA6-061B-4BC6-BD21-F51331334A44
Q65458354,THEMISTOCLEOUS Andreas,Q327591,independent politician,Q64918041,Limassol constituency,male,1962-04-15,11,Q65458354-813b60ea-4e15-0b72-f837-15b18a956052
Q7030515,TORNARITIS Nicos,Q644973,Democratic Rally,Q64918044,Nicosia constituency,male,1964-12-06,11,Q7030515-8C487590-8760-4C3A-9098-6CBF90BDCF0B
